Establishment,Manager,Status,Rooms,Beds,Address,Island,Tel,Email,License Type
Reef Holiday Apartment,ALBERT Eugene (Mr),Operational,20,40,Anse aux Pins,Mahe,4375082/2804477/2781403,reservations@seychelles-reefholidayapartments.com; eugene@seychelles.net,Self Catering
Reef View Villa ( Ex Cacao Self Catering),MOUGAL Brian (Mr),Operational,4,8,Reef Estate,Mahe,2570571/2717115,brianmougal@yahoo.com,Self Catering
Reef Villa,VIDOT David and Lise(Mr & Mrs),Operational,3,6,Reef Estate,Mahe,2515569/2515592,dvidot66@gmail.com,Self Catering
Regards From Seychelles,GUICHARD Dominique (Mr),Operational,1,2,Eden Island,Mahe,4303710/2510024/2756804,guichard.seychelles@gmail.com,Self Catering
Remire,Island Development Company,Operational,4,8,P.O Box 638,Remire,4384640/4224467,val@idc.sc; christiane@idc.sc,Guesthouse
Residence Ardine,ROBERT Ronald (Mr),Operational,9,18,Au Cap,Mahe,2570324,info@residence-argine.apartments,Self Catering
Residence Charlette,CHARLETTE Lucienne (Mrs),Operational,2,4,P.O Box 142,Mahe,4376204/ 2515507,d_charlette@yahoo.com,Self Catering
Residence Monte Cristo,PLUMAS Lindy (Mrs),Operational,6,12,P.O Box 211,Mahe,2511050/ 4355050,plume@seychelles.net,Self Catering
Residence Praslinoise,FRICHOT Gilbert & Carola (Mr),Operational,14,28,St Joseph,Praslin,4322767/ 2512550/2525909/,reservation@respraslinoise.com;carola@mahedesignbuild.com,Self Catering
Reve Bleu Residence,MUSSARD Ronelle (Mrs),Operational,4,8,Glacis,Mahe,4247080/2595911,mussard@seychelles.net,Self Catering
Rising Sun Guesthouse,LOUIS Charlotte (Mr),Operational,5,10,Anse Reunion,La Digue,2577989,risingsunghse@seychelles.net,Guesthouse
River Side-Mount Simpson Belombre,DICK Jeanine (Ms),Operational,2,4,Belombre,Mahe,2714078/2631036,jnine1089@gmail.com; karine-dick@hotmail.com,Self Catering
Roche Kerlan Apartments,MOREL James (Mr),Operational,6,12,Anse Kerlan,Praslin,2513602,rochekerlan@gmail.com,Self Catering
Rock Haven Residence,LOUIS Josianne (Miss),Operational,4,8,Mare Anglaise,Mahe,2584188,josianne.louis62@gmail.com,Self Catering
Rock Villa,COUCH Jennifer (Mrs),Operational,3,6,Au Cap,Mahe,2563567/2563562,jeremycouch@hotmail.com,Self Catering
Romance Bungalows,GERTRUDE Brian (Mr),Operational,7,14,Beau Vallon,Mahe,4247732/2607858,romance@seychelles.net,Guesthouse
Rose Harry Cove,MICHAUD Paul (Mr),Operational,3,6,Mare Anglaise,Mahe,2510053/ 2527736,roseharrycove@gmail.com,Self Catering
Rose Mary's Guesthouse,OLLMANN Herbert (Mr),Operational,7,14,Cote d'Or,Praslin,4232176/ 2565737,rosemary@seychelles.sc / rosemary@email.sc,Guesthouse
Rose Self Catering,AERIS Rosemary (Mrs),Operational,2,4,Mare Anglaise,Mahe,4247608/ 2541473/2592057,roseselfcatering@outlook.com,Self Catering
Row's Villa,GOPAL Rupert (Mr),Operational,2,4,Bel Ombre,Mahe,2534171/ 4247262,rowsvilla@gmail.com,Self Catering
Royal Bay Villa,NICHOLLS Barry (Mr),Operational,4,8,Anse Royale,Mahe,4410251/2852297/2852158,Royalbayvilla@outlook.com,Self Catering
Royal Panorama View Apartments,FRED Samuel (Mr),Operational- Undergoing Renovation,5,10,Anse Royale,Mahe,2514981,,Self Catering
Royale Self Catering Apartment ( Ex Central Self Catering Apartments),UZICE Danielle (Mrs),Operational,7,14,Anse Royale,Mahe,2869663/2787974,royaleselfcatering@outlook.com,Self Catering
Royale Suites By Arc Royale Luxury Apartment,RAJESIMHAN Ramani (Mr),Operational,23,46,Anse Royale,Mahe,2510481 /2519600 /4289553,royalesuites@gmail.sc,Self Catering
Roz a Mer Apartment,MANCIENNE Roger (Mr),Operational,1,2,Anse Forbans,Mahe,2522015,mancienne@gmail.com,Self Catering
Roz a Vel Villa,PENVEN Jane (Ms),Operational,2,4,Beau Vallon,Mahe,2769026,penven.lionel@orange.fr,Self Catering
S Hotel Guesthouse,ATHANASE Fabian (Mr),Operational,3,6,Cote Dor,Praslin,2505552/2542536,nanurogut@gmail.com,Bed & Breakfast Guesthouse
Sables D’or Luxury Apartment,LANZA Vicky Veronica (Mrs),Operational,14,28,Beau Vallon,Mahe,4247055/4247404/2518222,dalonvicky@gmail.com/ info@sables-dor.sc,Self Catering
Sahaj Holiday Apartments,LESPERENCE Delta (Ms),Operational,24,48,Baie Ste Anne,Praslin,2628843/4232300/4373555,info@sahajholiday.com,Self Catering
Sailfish Beach Villas,BOUCHEREAU Deborah (Miss),Operational,4,8,Anse La Mouche,Mahe,4355404/ 2579654,gisele@seychelles.net,Self Catering
Saria Self Catering,BEDIER Samuel (Mr),Operational,3,6,Cote Dor,Praslin,2576220,slbedier@seychelles.net,Self Catering
Savoy Hotel & Spa,SURENDRAN Sujith(Mr.),Operational,163,326,Beau Vallon,Mahe,4392000/ 2534461,surendran@savoy.sc,Large Hotel
Savy's Place,SAVY Achille (Mr),Operational,1,2,Baie Ste Anne,Praslin,2516023,avjmsavy@hotmail.com,Self Catering
Sea Monkey,FRICHOT Christophe (Mr),Operational,4,8,Glacis,Mahe,2614909,mfrichot@aol.com,Self Catering
Sea Shell Self Catering,ETHEVE Cindy (Mrs),Operational,2,4,Anse Kerlan,Praslin,2513764/ 2729641,csetheve@hotmail.com,Self Catering
Sea side self Catering,ROUCOU Francis (Mr),Operational,4,8,Anse a La Mouche,Mahe,2718865/2715265/2572136,froucou@yahoo.com; 88days@seychelles.net,Self Catering
Sea Splash Self Catering,BOSSY Nicole (Mrs),Operational,6,12,Anse Consolation,Praslin,2529001/2540001,bravoseychelles@yahoo.com,Self Catering
Sea View Lodge,DE CHARMOY LABLACHE Gretel (Mrs),Operational,6,12,Anse Possession,Praslin,2781316/ 2711965,seaviewlodge@seychelles.net,Self Catering
Seahorse Self Catering,SAVY Ryan (Mr),Operational,1,2,Anse La Blague,Praslin,2517186,seahorseseychelles@gmail.com,Self Catering
seashell Beach Villa,Etheve Cindy (Ms),Operational,8,16,Amitie,Praslin,2513764/ 2729641,csetheve@hotmail.com,Self Catering
Secret Villa La Digue,PAYET Gerard (Mr),Operational,3,6,Anse Reunion,La Digue,4235012/2570344,payet.gerard37@gmail.com,Bed & Breakfast Guesthouse
Seybreeze Villa,GALUSCHEUKO-MARIE Ludmila (Mrs),Operational,3,6,Anse Royale,Mahe,2522313,Dr.marielsc@gmail.com;seybreeze17@gmail.com,Self Catering
Seychelles Haus,CONFIANCE Berrella (Ms),Operational,3,6,Anse Boileau,Mahe,"2639173,2515237",seychellen-haus@t-online.de,Self Catering
Seyscape Luxury Accomodations,ADRIENNE Tina (Mrs),Operational,3,6,Eden Island,Mahe,2546373,luxuryaccommodations@seyscapes.co.uk,Self Catering
Shanaz Beachside Retreat,ALIBHAYE Meekaaeel (Mr),Operational,4,8,Anse Royale,Mahe,2514300,shanazsez@gmail.com,Self Catering
Shay Lyah Self Catering,JEAN Nelson (Mr),Operational,2,4,Beau Vallon,Mahe,2604061/2583516,shaylyah68@hotmail.com,Self Catering
Silhouette,Island Development Company,Operational,4,8,P.O Box 638,Silhouette,4384640/4224467,val@idc.sc; christiane@idc.sc,Guesthouse
Silhouette View Apartments,HOAREAU Bertie Francois (Mr),Operational,4,8,Glacis,Mahe,2713898/4261401,silhouetteview@yahoo.com,Self Catering
Six senses Zil Pasyon,BILFINGER Tim(Mr),Operational,30,60,Felicite,Felicite,4671000,timbilfinger@sixsenses.com,Medium Hotel
Sky Blue Guesthouse,HIBONNE Marcus (Mr),Operational,2,4,Cote d'Or,Praslin,4232022,mhibonne@hotmail.com,Self Catering
Skyline View,SOURIS Jerry (Mr),Operational,5,10,Mont Simpson,Mahe,4247664/2629889,mohit@seychelles.net,Self Catering
Societe Des Villages De Vacances Des Seychelles (Club Med),GUESSOUM Barq (Mr),Operational,295,590,Ste Anne,Ste. Anne,4 399 600/2606966,fc.sa@beachcomber.com; seycchef01@clubmed.com,Large Hotel
Song Bird Villa,PILLAY Jeffrey (Mr),Operational,4,8,Pointe Au Sel,Mahe,2541606,jeffpillay@aol.com,Self Catering
Sorento Sur Mer,MERITON Vincent (Mr),Operational,6,12,Glacis,Mahe,2722103,info@sorentosurmer.sc,Self Catering
South Hill Villa,HOAREAU Joachim (Mr)/FRANCOISE Guilliane (Ms),Operational,5,10,Anse Boileau,Mahe,2548791,southillvillas@gmail.com,Self Catering
South Point Villa Cerf,ESTICO Michel (Mr),Operational,6,12,P.O Box 1957,Cerf Island,2775498/ 2718970/ 4224097,manager@southpointvillas.com; gmestico@hotmail.com; info@southpointvillas.com,Self Catering
Spas Villa,OLLMANN Glafira (Mrs),Operational,8,16,Glacis,Mahe,2619304,info@spas.sc,Self Catering
Spas Villa Eden Island,OLLMANN Glafira (Mrs),Operational,19,38,Roche Caiman,Eden,2619304,glafira@spas.sc; fin@spas.sc,Self Catering
Spice Trees,DE LACOUDRAYE HATER Christine (Mrs)/,Operational,4,8,La Misere,Mahe,4344945/2515103,christineharter51@gmail.com,Self Catering
Stelia Beach,BAKER Steven (Mr),Operational,4,8,,Mahe,2800400/2827555,info@steliaseychelles.com,Self Catering
Stephna Residence,VICTORINE Henri (Mr),Operational,3,6,Santa Maria,Mahe,2711251/ 2725765,henry.victorine@hotmail.com,Self Catering
Stone Self Catering,STRAVENS Antonio (Mr),Operational,4,8,Grand Anse,Praslin,2641942/4233939,antoniostravens@gmail.com; fsrtavens@gmail.com; stoneselfcatering@seychelles.net,Self Catering
Story Seychelles (Ex The H Resort),STEYN Johannes,Operational,100,200,Bel Ombre,Mahe,4387000/2605300,johannes.steyn@H-hotel.com,Large Hotel
Sue-Etoile Self Catering,SUZETTE Simon,Operational,1,2,Au Cap,Mahe,2531813/2574513,simonsuzette61@gmail.com,Self Catering
Summer Self Catering,LALJEE Valerie (Ms),Operational,4,8,Anse La Blague,Praslin,2576263,summerselfcatering@gmail.com,Self Catering
Sun Resort,FONTAINE Clara (Ms),Operational,20,40,P.O Box 522,Mahe,4285555/2547638,clara.sunresort@seychelles.net; sun@seychelles.net,Small Hotel
Sunbird Bungalow,CECCATO Maria (Mrs),Operational,1,2,Anse Louis,Mahe,2513875,sunbirdbungalow@gmail.com ; mceccato24@gmail.com,Self Catering
Sundown Beach Villa,LARUE Flory (Ms),Operational,3,6,Anse Royale,Mahe,4344985/2523923,FLORYLARUE@gmail.com,Self Catering
Sun-Glow,"CAMILLE Germain, Maurice (Mr)",Operational,2,4,P.O Box 491,Mahe,2713839/ 4413787/2783601,reservation.sunglow@hotmail.com,Self Catering
Sunsand Luxury Accomodation,BARALLON Andy (mr),Operational,7,14,Eden Island,Mahe,2566605,,Self Catering
Sunset Bay Apartment,KHAN Guy (Mr),Operational,1,2,Sorento,Mahe,2515872/ 2527749,sunsetbayseychelles@outlook.com,Self Catering
Sunset Cove Self Catering Apartments,CHONG SENG Marienette (Mrs),Operational,7,14,Anse Kerlan,Praslin,2513048,sunsetcovevilla@gmail.com,Self Catering
Sunset View Self Catering,CHARLETTE Danny (Mr),Operational,4,8,Anse Louis,Mahe,2816542/ 2773664,christinecharlette@yahoo.co.uk,Self Catering
Surf Tropical Villa(Seascape Villa),DELBECQ-COSTA Ms. Marina,Operational,7,14,Cerf Island,Cerf,2717300/2803926,seascapevillacerf@gmail.com,Self Catering
Surfers Cove,FOCK-TAVE Barbara (Mrs),Operational,4,8,Bel-Ombre,Mahe,2523737/2511547,surferscove.sez@gmail.com,Self Catering
Surfers Self Catering Chalets,YOUNG Richard (Mr),Operational,6,12,Anse Parnel,Mahe,4371100/257227,surfersbeach@seychelles.net,Self Catering
Surman Self Catering Apartment,SURMAN Ibrahim Aziz (Mr),Operational,13,26,Bel Ombre,Mahe,2716460/2772305/2606410,nabilsurman@yahoo.com,Self Catering
Suzara's Residence,ANTAT Suzanna (Miss),Operational,3,6,Beau Vallon,Mahe,2514044/2609127,misssey99@yahoo.com;annamary.destjorre@gmail.com,Self Catering
Takamaka Green Village,ZACCARI Massimiliano (Mr),Operational,13,26,Takamaka,Mahe,2727020/ 2762227/ 4373139,info@takamakagreenvillage.com,Bed & Breakfast Guesthouse
Takamaka Heights,PRICE Lise (mrs),Operational,2,4,Quatre Bornes,Mahe,2525172/4366843,lise@liseprise.com,Self Catering
Tama's Holiday Apartments,PILLAY Anne-Marie Citama (Mrs),Operational,3,6,Beau-Vallon,Mahe,2515495,tamasholiday@gmail.com,Self Catering
Tanette's Villa,CRISPAIN Marie Antoinette (Miss),Operational,5,10,La Passe,La Digue,4234039/2576245/ 2783678,tannettecrispin@hotmail.com,Self Catering
Terasse sur Lazio,FERRARI Therese (Mrs),Operational,4,8,Cherimont,Praslin,2508337/ 4237432,thereseferrari@icloud.com,Self Catering
The Beach House,BERLOUIS Cecile (Mrs),Operational,9,18,Mare Anglaise,Mahe,2522010,lissa.berlouis@gmail.com,Bed & Breakfast Guesthouse
The Blue House,MONDON Rita (Mrs),Operational,3,6,La Passe,La Digue,4234324,ritahinder@googlemail.com,Self Catering
The Cove Holiday Apartment,LEBON Murline (Ms),Operational,1,2,Bel Ombre,Mahe,2521555,thecoveseychelles@gmail.com,Self Catering
The Drake Sea Side Apartment,"PANAGARY Christine, Audrey, Danielle (Mrs)",Operational,2,4,Bel Ombre,Mahe,2512074,danielle@email.sc,Self Catering
the Drake seaside Studio Apartments,PANAGARY Danielle (Mrs),Operational,8,16,Bel Ombre,Mahe,2512074,danielle@email.sc,Self Catering
The Garden Villas,BUSANYA John (Mr),Operational,2,4,Lunion,La Digue,2545998/2548318,thegardenvillas.ladigue@gmail.com,Self Catering
The House,PURVIS John (Mr),Operational,4,8,Anse La Blague,Praslin,4232649/ 2594292,johnrpurvis@hotmail.com,Self Catering
The Islander,GODLEY Miette (Mrs),Operational,10,20,Anse Kerlans,Praslin,4233224/ 2511154,islander@seychelles.net,Self Catering
The Islander Annex,GODLEY Miette (Mrs),Operational,2,4,Anse Kerlan,Praslin,4233224 / 2511154,islander@seychelles.net,Self Catering
The Lookout,MOREL Marie Lucienne (Mrs),Operational,2,4,Point Cabris,Praslin,2513027/2509820,info@thelookout-seychelles.com,Self Catering
The Marine Park Cottage,GONTHIER Clement (Mr),Operational,2,4,Anse Possession,Praslin,2575581,themarineparkcottage@hotmail.com,Self Catering
The Old School,POMEROY Jennie (Mrs),Operational,10,20,Baie Ste Anne,Praslin,4233800/4233804/ 2510230,resa@oldschool.sc,Self Catering
The Olive Tree,BERLOIUS Maryse (Ms),Operational,3,6,La Misere,Mahe,2514421,jcmberlouis@gmail.com,Self Catering
The Orchard Holiday Home,LAPORTE Beryl (Ms),Operational,4,8,Barbarons,Mahe,2816200,theorchardseychelles@gmail.com,Guesthouse
The Palm Seychelles,UMARGI Imtiaz (Mr),Operational,8,16,P.O Box 189,Mahe,4247906/ 2775235/2525506,imtiaz.umarji@thepalmseychelles.com,Self Catering
The Quadrant,LEITE Clara (Mrs),Operational,10,20,Victoria,Mahe,4380300/2520182,info@thequadrant.sc,Self Catering
The Reef Palm,MEIN Jude (Mr),Operational,1,2,Reef Estate,Mahe,2520802/2520770,judetmein@gmail.com,Self Catering
The Ridge Residence ( Ex La Louise Lodge),ADRIENNE Franco (Mr),Operational,12,24,La Louise,Mahe,4346674/434349/2718847,frontdeskridge@seychelles.net,Bed & Breakfast Guesthouse
Ti Lakaz,D'OFFAY Cedric (Mr),Operational,1,2,Pointe Aux Sel,Mahe,2527191,m.doffay@gmail.com;tilakazrental@gmail.com),Self Catering
Tierra Santa Self Catering,CALDERIN Sara (Mrs),Operational,1,2,Beau Vallon,Mahe,2814001,scalderin@gov.sc/saracalderin@hotmail.com,Self Catering
Top View Apartments,BUTLER Hugh (Mr),Operational,3,6,Anse La Mouche,Mahe,2521743,hugh433@gmail.com,Self Catering
Touch Down Villa,ALLY Jill Ally (Ms),Operational,2,4,Anse des Genets,Mahe,2541400/ 4371134,reservation@touchdownvilla.com,Self Catering
Tourterellle Holiday Home,ESTHER Jourdane (Mrs.),Operational,8,16,Grand Anse,Praslin,2714771/2713772,tourterelleholidayhome@gmail.com,Self Catering
Tranquility Villa,"LESPERANCE Jacques, Albert (Mr)",Operational,3,6,Anse la Blague,Praslin,2517123,wynjali74@gmail.com,Self Catering
Transit Self Catering Apartments,MONTHY Serge (Mr),Operational,17,34,Pointe Larue,Mahe,2781943/ 2783728,sergemonthy@seychelles.net; transitselfcateringapartments@gmail.com,Self Catering
Treasure Cove,MACGREGOR Marie-France (Mrs),Operational,10,20,Bel Ombre,Mahe,4247400 / 2521521,juliana@treasurecove.com; treasurecove@seychelles.net,Small Hotel
Treasure Island Retreat,ALBERT Alda Janette (Mrs),Operational,4,8,Anse Kerlans,Praslin,2757330/2747570,janettealdaalbert@gmail.com; treasureislandretreat@outlook.com,Self Catering
Tropic Villa Annex,MOREL Therese,Operational,4,8,Amitie,Praslin,4233027/2513027,tropic@seychelles.net,Self Catering
Tropical Beach House,"ESTHER Yvon, Jean Baptiste (Mr)",Operational,2,4,Amitie,Praslin,2580727,maudeestee2016@gmail.com,Self Catering
Tropical Garden Self Catering,BARBIER Flossy (Mrs),Operational,1,2,Helvetia,Mahe,4378354/2525495,tropicalgardenselfcatering@gmail.com,Self Catering
Tropical Hideaway,TALMA Dereck (Mr),Operational,12,24,Beau Vallon,Mahe,2511330,tropicalhideaway@seychelles.net,Self Catering
Tropical Residence,WOODCOCK Marie-Josee (Mrs),Operational,1,2,La Plaine St. Andre,Mahe,2575330,tropicalresidence@seychelles.net,Self Catering
Val Mer Resort,DEVOUD Jacques (Mr),Operational,32,64,P.O Box 72,Mahe,4381555/ 2515130,valmer@seychelles.net,Medium Hotel
Vallonend Self catering,JEAN LOUIS Andrew (Mr),Operational,7,14,Bel Ombre,Mahe,2536812,villablanc3@gmail.com,Self Catering
Vanilla Guesthouse,BIBI Laurencine (Mrs),Operational,3,6,La Passe,La Digue,4234289/ 2587715,lyjerbibi@yahoo.co.uk,Guesthouse
Verdure Villa,MARIA Yanzie (Mr),Operational,4,8,Anse Aux Pins,Mahe,4610950/2815959,,Self Catering
Verona Self Catering,TIRANT Andy ( Mr),Operational,2,4,Anse Royale,Mahe,"2520101,2520303",hazel@mycar.sc,Self Catering
Veronic Self Catering,"DORA Veronique, Agnes (Mrs)",Operational,4,8,La Passe,La Digue,4234743/ 2592463,seyladigue@yahoo.com,Self Catering
VI Miles Lodge,ADAM Francisca (Ms),Operational,1,2,Machabee,Mahe,2563369,VImileslodgesey@gmail.com,Self Catering
Vicky's Holiday Apartment,BONTE Harry (Mr),Operational,7,14,"P.O Box 226, Victoria",Mahe,2529619,apartmentvicky@gmail.com,Self Catering
Victoria Apartment,"Ernesta Unicy, Helene (Mrs)",Operational,2,4,Bel Air,Mahe,2783023/2641224,ronnyroseline848@gmail.com,Self Catering
Villa 261,HODOUL Paul (Mr),Operational,3,6,Mare Anglaise,Mahe,2532624/  2510373,paul.hodoul@gmail.com; paul@villa261seychelles.com,Self Catering
Villa Admiral,ADELINE Denise (Mrs),Operational,1,2,Anse Kerlans,Praslin,2509608,villaadmiral@gmail.com,Self Catering
Villa Anse La Blague,ADRIENNE Georgette,Operational,3,6,Anse La Blague,Praslin,2575537/2524260,villaanselablague@seychelles.net; sales@islandchemicalseychelles.sc,Guesthouse
Villa Anse Possesion,DUNIENVILLE Myriam (Ms),Operational,3,6,Anse Possession,Praslin,2590172/2581153,maurric@gmail.com,Self Catering
Villa Authentique,Ah Kon Bertine (Ms),Operational,6,12,La Passe,La Digue,4234413/2505906,villauthentique@seychelles.net,Small Hotel
Villa Aya,ESTHER Achil (Mr),Operational,1,2,Amitie,Praslin,2715800/2779756/2639756,wwwvilla-aya@seychelles.com; info@villa-aya-seychelles.com,Self Catering
Villa Bananier,PAYET Anne (Mrs),Operational,8,16,Cote d'Or,Praslin,2580103/ 4232235,villabananier@yahoo.com,Bed & Breakfast Guesthouse
Villa Batista Beach Bungalow,HORTERE Jean Baptiste (Mr),Operational,10,20,P.O Box 3013,Mahe,4366300/ 2523672,batistas@seychelles.net,Small Hotel
Villa Bel Age,POTHIN Nicolas (Mr),Operational,4,8,Fairyland,Mahe,2520001/4344947,npothin@seychelles.net,Self Catering
Villa Bella,LARUE Jean Marc (Mr),Operational,2,4,North East Point,Mahe,2620799/ 2713452/2516835,villabellaseychelles@gmail.com,Self Catering
Villa Belle Plage,GENDRON Bertrand (Mr),Operational,3,6,Anse Kerlan,Praslin,2636252,villabelleplage@gmail.com,Self Catering
Villa Bethleem,FRED Travis (Mr),Operational,4,8,Anse Boileau,Mahe,2512122/2512245/4355237,villabethleem.anseboileau@yahoo.com,Self Catering
Villa Blanc,BODNAR Petr (Mr),Operational,2,4,Beau Vallon,Mahe,2536812/2719423,vllablanc3@gmail.com,Self Catering
Villa Caballero,SOUNDY Vivienne (Mrs),Operational,2,4,Turtle Bay,Mahe,4285701/2516672,soundy@seychelles.net; info@villacaballero.sc,Self Catering
Villa Cachee,DENIS Monique (Ms),Operational,4,8,Beau Vallon,Mahe,2512835/4247427,emfali@yahoo.com.au,Self Catering
Villa Castello,HACKL Hans (Mr),Operational,4,8,Anse Kerlans,Praslin,4298900/ 2527426,humanresources@castellobeachhotel.com,Self Catering
Villa Charette,SERVINA Arthur (Mr),Operational,5,10,Anse Severe,La Digue,2780827,arthurservina63@gmail.com,Self Catering
Villa Charme De Lile,ST ANGE Sindey (Mr),Operational,10,20,La Passe,La Digue,2512542/2512543,villacharmedelile@gmail.com,Self Catering
Villa Confort,"THOMAS Claude, Auguste, Marcel, Joseph",Operational,5,10,Amitie,Praslin,2593195,villaconfort@gmail.com; villaconfort.sey@gmail.com;reservation@villaconfort.com,Self Catering
Villa Creole,MELLON Sousila  (Mrs),Operational,4,8,Anse Reunion,La Digue,4234105/2522554,villacreole@hotmail.com,Self Catering
Villa de Jardin,AMADE Ulrike (Mrs),Operational,12,24,PO Box 653,Mahe,2580973/4378040,info@villasdejardin.com,Self Catering
Villa de Mer,LABLACHE Lydia (Mrs),Operational,12,24,Amitie,Praslin,4233972/ 4511959,vdemer@seychelles.net,Small Hotel
Villa De Rose,POOL Marie-Anne (Mrs),Operational,8,16,Beau Vallon,Mahe,4247455/2511216,vderoses@seychelles.net,Guesthouse
Villa Des Cerfs,MAZZORCHI Anna (Mrs),Operational,4,8,P.O Box 340,Cerf Island,2523161/2522301,info@villadecerf.com,Bed & Breakfast Guesthouse
Villa Des Flots,LABLACHE Gerard (Mr),Operational,5,10,Anse Gaulette,La Digue,2514233/4610717/2510142,patatran@seychelles.net; gmpatatran@email.sc,Bed & Breakfast Guesthouse
Villa des Iles,"CHOPPY Elizabeth ,Muriel (Mrs)",Operational,4,8,La Passe,La Digue,4234020,,Self Catering
Villa Dominique,VERLAQUE Patrick (Mr),Operational,8,16,Anse Kerlan,Praslin,2608070,pmverlaque@gmail.com,Self Catering
Villa Face Mer,"LACAGE Tessa, Jeva (Mrs)",Operational,8,16,Anse Possession,Praslin,2778851/ 2527282,tessalablache@hotmail.com,Self Catering
Villa Familia,ROGER Jeanette (Mrs),Operational,4,8,La Passe,La Digue,"2504506, 4234394",m-roger1@hotmail.com,Self Catering
Villa Favorita,"CONFAIT Jose, Basil (Mr)",Operational,6,12,Grand Anse,Praslin,4233320/2511427,villafavorita@seychelles.net,Self Catering
Villa Gazebo,DELTEL Lucia (Ms),Operational,3,6,Intandance,Mahe,2571362,gazebo@mweb.co.za,Self Catering
Villa Hortensia,ERNESTA Marlette (Mrs),Operational,5,10,La Passe,La Digue,2524905/2570585,villahortensialadigue@gmail.com,Self Catering
Villa Idea,VERLAQUE Georges (Mr),Operational,4,8,Anse Kerlan,Praslin,2576835,villasidea@outlook.com,Self Catering
Villa Kass,LARUE Natasha (Miss),Operational,1,2,Anse Possession,Praslin,2711689/2513163,contact@villakass.com,Self Catering
Villa Kayola,LEON Jenifer (Mrs),Operational,3,6,Anse Au Pins,Mahe,2520057,villakayola@seychelles.net.,Self Catering
Villa Kiki,CAMILLE Terence (Mr),Operational,4,8,Anse Louis,Mahe,2512280/2517183,villakiki@outlook.com,Self Catering
Villa Koket,MICHEL Brian & Jeanette (Mr & Mrs),Operational,4,8,North East Point,Mahe,2510363/ 2520122/ 4241550,villakoket@seychelles.net,Self Catering
Villa Kolibri,CAMILLE Jane (Mrs),Operational,12,24,Pointe La Rue,Mahe,2516113/2517875/4374669,rolandcdoffayone@gmail.com; villakolibriseychelles@gmail.com,Self Catering
Villa Kordia,LAROSE Gervais & MARIE Fadette (Mr & Ms),Operational,5,10,Pointe Aux Sel,Mahe,2597596,info@villakordia.com,Self Catering
Villa La Cachette,FANCHETTE Agnela (Miss),Operational,2,4,Mount Simpson,Mahe,2783099/ 4247677,agfanchette@gmail.com,Self Catering
Villa Laure,BARALLON Guy (Mr),Operational,2,4,St Joseph,Praslin,2592501/2527577,villalaurepraslin@yahoo.com,Self Catering
Villa Lima,CAMILLE Angelle (Mrs),Operational,1,2,Au Cap,Mahe,2633210/2641974,angelle@email.sc,Self Catering
Villa Luana & Yuna,MARIE David (Mr.),Operational,6,12,Au Cap,Mahe,2530051/2803415,davidmarie@libero.it,Self Catering
Villa Manoir,SOUFFE Leon (Mr),Operational,2,4,Anse Boudin,Praslin,4232161/ 2593887,villamanoir@seychelles.sc,Self Catering
Villa Marthe,BRIOCHE Marie-Zet (Miss),Operational,1,2,Marie-Jeanne Estate,Praslin,2562477,villasmarthe@gmail.com,Self Catering
Villa Mille Soleils,RASOOL Bertrand (Mr),Operational,2,4,La Misere,Mahe,4378438/ 2599972,lmbrassool@yahoo.co.uk,Self Catering
Villa Milles Etoiles,D'OFFAY Jean Marc (Mr),Operational,3,6,Anse Gouvernment,Praslin,2516633/ 4232464/ 2512807,villamilleetoiles@gmail.com,Self Catering
Villa Milou,LARUE Natasha (Miss),Operational,4,8,Anse Possession,Praslin,2513163,info@villamilou.com,Self Catering
Villa Mimi,METCALFE Pricilla Olivia (Mrs),Operational,2,4,Beau Vallon,Mahe,2775784,sarahmetcalfeharvey@yahoo.co.uk,Self Catering
Villa Paille en Queue ( EX Peq Self Catering ),PHILOE Stella (Mrs),Operational,5,10,Le Rocher,Praslin,2629875,villapeq@gmail.com,Self Catering
Villa Panoramic Seaview,MICHEL Jeanette (Mrs),Operational,4,8,Glacis,Mahe,2520122,jnb@seychelles.net,Guesthouse
Villa Pasyon,CHOPPY Rex (Mr),Operational,5,10,Anse Reunion,La Digue,2586450/ 2590461,villapasyon@gmail.com,Self Catering
Villa Perla,LOIZEAU Pearl (Ms),Operational,5,10,Bel Ombre,Mahe,2525200,pearlloizeau@gmail.com,Self Catering
Villa Plein Soleil,DE CHARMOY LABLACHE Julien (Mr),Operational,1,2,Anse Kerlans,Praslin,4233219/ 2513219/2520365,pracar@seychelles.net,Self Catering
Villa Rafya,LEON Sonny (Mr),Operational,3,6,Cote d'Or,Praslin,4232013,Villarafia@gmail.com,Self Catering
Villa Roche Bois,MICHEL Mary Jane (Mrs),Operational,5,10,Roche Bois,La Digue,2572771,pm@seychelles.net,Self Catering
Villa Roscia,STE ANGE Nicole (Ms),Operational,5,10,Beau Vallon,Mahe,2523882,info@villaroscia.com,Bed & Breakfast Guesthouse
Villa Rousseau,ROUSSEAU Allison (Mrs),Operational,9,18,Bel Ombre,Mahe,2520646/ 4248437,alison@seychelles.net,Self Catering
Villa Salazie,Ms Lisa Michel,Operational,6,12,La Misere,Mahe,2513823,villasalazie@gmail.com,Self Catering
Villa Sofia,PHILOE Nora (Mrs),Operational,3,6,Anse Kerlans,Praslin,4233767/2500634,villasofia@email.sc,Self Catering
